"Date","Open","High","Low","Close","Volume","Adj Close"
"2012-10-01",759.05,765,756.21,761.78,3168000,761.78
"2012-10-02",765.2,765.99,750.27,756.99,2790200,756.99
"2012-10-03",755.72,763.92,752.2,762.5,2208300,762.5
"2012-10-04",762.75,769.89,759.4,768.05,2454200,768.05
"2012-10-05",770.71,774.38,765.01,767.65,2735900,767.65
"2012-10-08",761,763.58,754.15,757.84,1958600,757.84
"2012-10-09",759.67,761.32,742.53,744.09,3003200,744.09
"2012-10-10",741.86,747.53,738.29,744.56,2039900,744.56
"2012-10-11",752.9,758.5,750.29,751.48,2383900,751.48
"2012-10-12",751.85,754.87,744.1,744.75,2404200,744.75
"2012-10-15",741.94,743.83,730.7,740.98,3019100,740.98
"2012-10-16",740.13,746.99,736.46,744.7,2058200,744.7
"2012-10-17",743.95,756.34,740.26,755.49,2292900,755.49
"2012-10-18",755.54,759.42,676,695,12430200,695
"2012-10-19",705.58,706.7,672,681.79,11482200,681.79
"2012-10-22",681.01,684.63,669.7,678.67,4055600,678.67
"2012-10-23",672.01,687.33,672,680.35,2916600,680.35
"2012-10-24",686.8,687,675.27,677.3,2496500,677.3
"2012-10-25",680,682,673.51,677.76,2401100,677.76
"2012-10-26",676.5,683.03,671.2,675.15,1950800,675.15
"2012-10-31",679.86,681,675,680.3,1537000,680.3
